datetime,open,high,low,close,volume
2023-12-27 20:00:00,43050.1,43083.6,42780.8,42937.8,235470831.368
2023-12-27 21:00:00,42937.7,43016.7,42728,42930.9,237683140.663
2023-12-27 22:00:00,42928.2,43174.1,42838.6,42934.3,385884578.954
2023-12-27 23:00:00,42934.3,43099.1,42778.7,42994.1,286463337.693
2023-12-28 00:00:00,42995.9,43225.1,42900.4,43108,243091217.764
2023-12-28 01:00:00,43107.9,43166.1,42875.6,43043.6,160414270.065
2023-12-28 02:00:00,43040.6,43248.3,42943.3,43203.9,126916691.049
2023-12-28 03:00:00,43202.1,43214.9,43014.4,43166.8,94203855.057
2023-12-28 04:00:00,43166.8,43564.2,43129.1,43450,335882884.995
2023-12-28 05:00:00,43450,43487.9,43241.6,43363.6,129186147.648
2023-12-28 06:00:00,43363.6,43670,43276.5,43320.2,205661414.766
2023-12-28 07:00:00,43320.2,43473,43320.2,43412.7,132525597.135
2023-12-28 08:00:00,43412.8,43826.5,43377.4,43582.2,374153295.666
2023-12-28 09:00:00,43582.1,43738.7,43411.9,43437.6,188151931.866
2023-12-28 10:00:00,43437.7,43472.9,43310.6,43377.4,146301438.473
2023-12-28 11:00:00,43377.3,43437,43325,43426.5,73126069.843
2023-12-28 12:00:00,43427.7,43643,43322,43328.1,182118097.586
2023-12-28 13:00:00,43328,43381.6,43150,43237,280719096.172
2023-12-28 14:00:00,43236.3,43236.4,43000,43057.7,207485439.479
2023-12-28 15:00:00,43057.8,43091.5,42822.2,43080,277458073.649
2023-12-28 16:00:00,43080,43097.9,42933.9,42951.9,117073180.547
2023-12-28 17:00:00,42950.1,43121.9,42886,43067.5,153885336.671
2023-12-28 18:00:00,43070,43218.5,43032.5,43117.7,125018815.511
2023-12-28 19:00:00,43117.7,43162,43027.6,43087.8,92812273.639
2023-12-28 20:00:00,43087.7,43151.9,42736,42799.7,241005361.937
2023-12-28 21:00:00,42799.8,42950,42577,42815,384390969.84
2023-12-28 22:00:00,42815.1,42851.3,42466.4,42691.7,439911107.425
2023-12-28 23:00:00,42691.7,42733.2,42419,42460,269003628.002
2023-12-29 00:00:00,42460,42585.7,42260,42475.5,331688844.119
2023-12-29 01:00:00,42475.6,42655,42471.9,42559.9,118035951.359
2023-12-29 02:00:00,42559.9,42669.9,42402.2,42499.8,128061231.455
2023-12-29 03:00:00,42499.8,42809,42471.7,42626.2,183823416.459
2023-12-29 04:00:00,42626.2,42639.3,42378,42524.9,110822140.59
2023-12-29 05:00:00,42526.3,42638,42352.6,42468.3,107604489.965
2023-12-29 06:00:00,42468.3,42650.3,42396.5,42650.3,65576654.526
2023-12-29 07:00:00,42650.3,42771.2,42542.2,42580,144860141.515
2023-12-29 08:00:00,42580.1,42709.8,42385.1,42422.7,159838242.27
2023-12-29 09:00:00,42422.7,42561.8,42107.9,42347.8,470631116.711
2023-12-29 10:00:00,42347.7,42636.1,42278.4,42591.9,166719815.267
2023-12-29 11:00:00,42591.9,42863.2,42471.9,42717,259721078.458
2023-12-29 12:00:00,42717.1,42790.9,42609.1,42686.4,104990988.603
2023-12-29 13:00:00,42686.5,42727.6,42511.4,42701.8,152380205.821
2023-12-29 14:00:00,42701.8,42712.1,42528,42550,84657117.218
2023-12-29 15:00:00,42550,42587.8,42236.9,42296.1,286582552.692
