datetime,open,high,low,close,volume
2023-12-27 20:00:00,2286.67,2292.17,2276.23,2284.3,244575442.439
2023-12-27 21:00:00,2284.3,2301.82,2277.15,2293.67,397213498.193
2023-12-27 22:00:00,2293.65,2344.11,2290.7,2327.01,951159760.5
2023-12-27 23:00:00,2327.01,2356.6,2326.26,2342.79,676259810.083
2023-12-28 00:00:00,2342.84,2377.5,2340,2367.13,624129564.454
2023-12-28 01:00:00,2367.12,2370.63,2342.82,2347.02,354048082.764
2023-12-28 02:00:00,2347.01,2354.57,2335.16,2351.15,225407836.006
2023-12-28 03:00:00,2351.14,2353.75,2338.98,2347.84,114276394.512
2023-12-28 04:00:00,2347.83,2356.83,2345.23,2352.19,122219924.181
2023-12-28 05:00:00,2352.01,2361.83,2348.13,2360.25,78127196.77
2023-12-28 06:00:00,2360.25,2374.05,2358.48,2365.13,133551329.277
2023-12-28 07:00:00,2365.14,2394,2365.14,2378.52,394483634.645
2023-12-28 08:00:00,2378.51,2453.95,2376.08,2433.2,909660352.845
2023-12-28 09:00:00,2433.2,2447.5,2411.37,2415,372888114.406
2023-12-28 10:00:00,2415.12,2418.99,2403.41,2411.27,235681655.272
2023-12-28 11:00:00,2411.26,2422.11,2408.94,2414.59,145186223.201
2023-12-28 12:00:00,2414.68,2426.25,2402.06,2404.66,261196305.038
2023-12-28 13:00:00,2404.67,2407.93,2380.18,2391.62,388268542.097
2023-12-28 14:00:00,2391.62,2393.84,2370.12,2375.6,315992347.439
2023-12-28 15:00:00,2375.83,2383.89,2366.15,2382.76,317175452.244
2023-12-28 16:00:00,2382.77,2392,2373.5,2380.43,260084187.776
2023-12-28 17:00:00,2380.43,2397.3,2379.66,2388,191620832.036
2023-12-28 18:00:00,2388,2413,2385.19,2399.06,214024036.846
2023-12-28 19:00:00,2399.06,2407.26,2389.88,2402,177501232.431
2023-12-28 20:00:00,2402,2405.36,2371.1,2374.41,403956453.961
2023-12-28 21:00:00,2374.41,2415,2360.77,2395.2,686489232.37
2023-12-28 22:00:00,2395.34,2399.59,2345,2370.99,808415992.137
